path,generation_date,generation_tool,prompt_id,human_review,redistribution_decision
intro/media/intro-background.jpg,2026-07,AI image generation,template-opening-atmosphere,reviewed,project-generated-demo
intro/media/pages/scroll-01.jpg,2026-07,AI image generation,template-scroll-atmosphere-01,reviewed,project-generated-demo
intro/media/pages/scroll-02.jpg,2026-07,AI image generation,template-scroll-atmosphere-02,reviewed,project-generated-demo
intro/media/pages/scroll-03.jpg,2026-07,AI image generation,template-scroll-atmosphere-03,reviewed,project-generated-demo
intro/media/pages/scroll-04.jpg,2026-07,AI image generation,template-scroll-atmosphere-04,reviewed,project-generated-demo
intro/media/pages/scroll-05.jpg,2026-07,AI image generation,template-scroll-atmosphere-05,reviewed,project-generated-demo
intro/media/pages/scroll-06.jpg,2026-07,AI image generation,template-scroll-atmosphere-06,reviewed,project-generated-demo
intro/media/pages/result.png,2026-07,AI image generation,template-result-atmosphere,reviewed,project-generated-demo
assets/sfx/gear-scroll.mp3,2026-07,project-generated or user-provided,template-gear-scroll,reviewed,project-owned-demo
assets/template-audio/intro-voiceover.mp3,2026-07,project-generated or user-provided,template-intro-voiceover,reviewed,project-owned-demo
assets/bgm/城南花已开.mp3,2026-07,user-provided,default-bgm-chengnan,reviewed,redistribution-authorized-by-project-maintainer
assets/bgm/红色高跟鞋.mp3,2026-07,user-provided,default-bgm-red-heels,reviewed,redistribution-authorized-by-project-maintainer
assets/bgm/起风了.mp3,2026-07,user-provided,default-bgm-qifeng,reviewed,redistribution-authorized-by-project-maintainer
assets/bgm/如愿.mp3,2026-07,user-provided,default-bgm-ruyuan,reviewed,redistribution-authorized-by-project-maintainer
